airline,source,dest,equipment,start_lon,end_lon,start_lat,end_lat
2B,AER,KZN,CR2,39.956589,49.278728,43.449928,55.606186
2B,ASF,KZN,CR2,48.006278,49.278728,46.283333,55.606186
2B,ASF,MRV,CR2,48.006278,43.081889000000004,46.283333,44.225072
2B,CEK,KZN,CR2,61.503333,49.278728,55.305836,55.606186
2B,CEK,OVB,CR2,61.503333,82.65065600000001,55.305836,55.012622
2B,DME,KZN,CR2,37.906110999999996,49.278728,55.408611,55.606186
2B,DME,NBC,CR2,37.906110999999996,52.06,55.408611,55.34
2B,DME,TGK,CR2,37.906110999999996,-200.0,55.408611,-200.0
2B,DME,UUA,CR2,37.906110999999996,52.8017,55.408611,54.64
2B,EGO,KGD,CR2,36.5901,20.592633,50.6438,54.89005
2B,EGO,KZN,CR2,36.5901,49.278728,50.6438,55.606186
2B,GYD,NBC,CR2,50.046667,52.06,40.4675,55.34
2B,KGD,EGO,CR2,20.592633,36.5901,54.89005,50.6438
2B,KZN,AER,CR2,49.278728,39.956589,55.606186,43.449928
2B,KZN,ASF,CR2,49.278728,48.006278,55.606186,46.283333
2B,KZN,CEK,CR2,49.278728,61.503333,55.606186,55.305836
2B,KZN,DME,CR2,49.278728,37.906110999999996,55.606186,55.408611
2B,KZN,EGO,CR2,49.278728,36.5901,55.606186,50.6438
2B,KZN,LED,CR2,49.278728,30.262503000000002,55.606186,59.800292000000006
2B,KZN,SVX,CR2,49.278728,60.802728,55.606186,56.74310799999999
2B,LED,KZN,CR2,30.262503000000002,49.278728,59.800292000000006,55.606186
2B,LED,NBC,CR2,30.262503000000002,52.06,59.800292000000006,55.34
2B,LED,UUA,CR2,30.262503000000002,52.8017,59.800292000000006,54.64
2B,MRV,ASF,CR2,43.081889000000004,48.006278,44.225072,46.283333
2B,NBC,DME,CR2,52.06,37.906110999999996,55.34,55.408611
2B,NBC,GYD,CR2,52.06,50.046667,55.34,40.4675
2B,NBC,LED,CR2,52.06,30.262503000000002,55.34,59.800292000000006
2B,NBC,SVX,CR2,52.06,60.802728,55.34,56.74310799999999
2B,NJC,SVX,CR2,76.48361700000001,60.802728,60.949272,56.74310799999999
2B,NJC,UUA,CR2,76.48361700000001,52.8017,60.949272,54.64
2B,NUX,SVX,CR2,76.31393800000001,60.802728,66.041811,56.74310799999999
2B,OVB,CEK,CR2,82.65065600000001,61.503333,55.012622,55.305836
2B,OVB,SVX,CR2,82.65065600000001,60.802728,55.012622,56.74310799999999
2B,SVX,KZN,CR2,60.802728,49.278728,56.74310799999999,55.606186
2B,SVX,NBC,CR2,60.802728,52.06,56.74310799999999,55.34
2B,SVX,NJC,CR2,60.802728,76.48361700000001,56.74310799999999,60.949272
2B,SVX,NUX,CR2,60.802728,76.31393800000001,56.74310799999999,66.041811
2B,SVX,OVB,CR2,60.802728,82.65065600000001,56.74310799999999,55.012622
2B,UUA,DME,CR2,52.8017,37.906110999999996,54.64,55.408611
2B,UUA,LED,CR2,52.8017,30.262503000000002,54.64,59.800292000000006
2B,UUA,NJC,CR2,52.8017,76.48361700000001,54.64,60.949272
2G,BTK,IKT,A81,101.69833100000001,104.388975,56.37055600000001,52.268028
2G,BTK,OVB,A81,101.69833100000001,82.65065600000001,56.37055600000001,55.012622
2G,CEK,OVB,A81,61.503333,82.65065600000001,55.305836,55.012622
2G,HTA,IKT,AN4,113.30555600000001,104.388975,52.026317,52.268028
2G,IKT,BTK,A81,104.388975,101.69833100000001,52.268028,56.37055600000001
2G,IKT,HTA,AN4,104.388975,113.30555600000001,52.268028,52.026317
2G,IKT,KCK,AN4,104.388975,-200.0,52.268028,-200.0
2G,IKT,ODO,AN4,104.388975,114.1348,52.268028,57.5137
2G,IKT,OVB,A81,104.388975,82.65065600000001,52.268028,55.012622
2G,IKT,UKX,AN4,104.388975,105.7167,52.268028,56.85
2G,IKT,ULK,AN4,104.388975,114.825,52.268028,60.723
2G,IKT,YKS,A81,104.388975,129.770672,52.268028,62.09325
2G,MJZ,OVB,A81,114.038928,82.65065600000001,62.534689,55.012622
2G,ODO,IKT,AN4,114.1348,104.388975,57.5137,52.268028
2G,OVB,BTK,A81,82.65065600000001,101.69833100000001,55.012622,56.37055600000001
2G,OVB,CEK,A81,82.65065600000001,61.503333,55.012622,55.305836
2G,OVB,IKT,A81,82.65065600000001,104.388975,55.012622,52.268028
2G,UKX,IKT,AN4,105.7167,104.388975,56.85,52.268028
2G,ULK,IKT,AN4,114.825,104.388975,60.723,52.268028
2G,YKS,IKT,A81,129.770672,104.388975,62.09325,52.268028
2I,AYP,LIM,142,-74.204417,-77.114319,-13.154819,-12.021889
2I,CUZ,LIM,142 141,-71.938781,-77.114319,-13.535722,-12.021889
2I,CUZ,PEM,142,-71.938781,-69.228611,-13.535722,-12.613611
2I,HUU,LIM,141,-76.204797,-77.114319,-9.878811,-12.021889
2I,IQT,PCL,143,-73.308806,-74.574297,-3.784739,-8.377939
